"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
102620,1978-06-19 16:00:00,0,"DWS-RQIS","NONE",10.2,21.4,120,27.3,0.05,0.62,5.7,17.7,0.04,0.24,#n/a,7.21,0.003,7.6,7,46.5,"U1H006Q01","U10M"
102620,1978-06-26 16:00:00,0,"DWS-RQIS","NONE",10.2,22.8,124,26.9,0.05,0.62,5.9,18.7,0.06,0.29,#n/a,7.32,0.003,7.69,7.7,46.5,"U1H006Q01","U10M"
102620,1978-07-03 16:00:00,0,"DWS-RQIS","NONE",10.7,23.5,128,27.7,0.05,0.62,6.4,20,0.08,0.29,#n/a,7.32,0.003,8.15,7.7,47.4,"U1H006Q01","U10M"
102620,1978-07-10 16:00:00,0,"DWS-RQIS","NONE",11.1,25.6,134,26.8,0.05,0.61,6.6,20.9,0.07,0.28,#n/a,7.28,0.003,7.31,7.7,49.3,"U1H006Q01","U10M"
102620,1978-07-17 16:00:00,0,"DWS-RQIS","NONE",11.4,22.8,134,27,0.1,0.62,6.3,20.6,0.14,0.2,#n/a,7.28,0.011,7.08,6.8,52.9,"U1H006Q01","U10M"
102620,1978-07-24 16:00:00,0,"DWS-RQIS","NONE",12,23.7,139,27,0.05,0.62,6.3,22,0.14,0.08,#n/a,7.2,0.011,7.08,6.8,55,"U1H006Q01","U10M"
102620,1978-07-31 16:00:00,0,"DWS-RQIS","NONE",11.7,30.2,149,23,0.15,0.78,7.1,21.9,0.09,0.13,#n/a,7.2,0.014,7.04,8.1,55.8,"U1H006Q01","U10M"
102620,1978-08-07 16:00:00,0,"DWS-RQIS","NONE",12.5,32.7,157,24,0.18,0.79,7.4,23.3,0.09,0.22,#n/a,7.11,0.014,7.31,9.3,56.8,"U1H006Q01","U10M"
102620,1978-09-04 09:00:00,0,"DWS-RQIS","NONE",13.5,26.9,160,28.3,0.15,0.96,7.4,25.1,0.05,0.34,#n/a,7.21,0.014,7.58,9.7,61.4,"U1H006Q01","U10M"
102620,1978-09-11 16:00:00,0,"DWS-RQIS","NONE",12.3,26.3,154,28.3,0.14,0.96,6.8,24.2,0.06,0.21,#n/a,7,0.014,7.3,11.6,58.1,"U1H006Q01","U10M"
102620,1978-09-18 16:00:00,0,"DWS-RQIS","NONE",9.2,14.4,106,16.1,0.13,1.1,5,15.3,0.05,0.23,#n/a,6.9,0.018,7.21,6.4,44,"U1H006Q01","U10M"
